surgery,age,rectal_temperature,pulse,respiratory_rate,temperature_of_extremities,pain,outcome
2,1,38.3,40,24,1,3,1
1,2,39.1,164,84,4,2,2
2,1,38.349999999999994,72,32,2,2,1
1,1,37.9,48,16,1,3,1
2,1,38.05,80,36,3,4,3
2,2,38.3,90,49,1,5,1
1,1,38.1,66,12,3,3,1
2,1,39.1,72,52,2,2,1
1,1,37.2,42,12,2,3,1
2,2,38.0,92,28,1,1,2
1,1,38.2,76,28,3,3,1
1,1,37.6,96,48,3,5,2
1,2,38.8,128,36,3,4,2
1,1,37.6,64,21,1,2,1
1,1,39.9,72,60,1,5,1
2,1,38.4,48,16,1,1,1
1,1,38.6,42,34,2,2,1
1,1,38.3,72,30,4,3,1
2,1,37.7,48,20,2,1,1
2,1,37.7,96,30,3,5,2
2,1,37.2,108,12,3,2,3
1,1,37.2,60,24,2,3,1
1,1,38.2,64,28,1,3,1
1,1,38.0,100,30,3,5,1
2,1,38.05,104,24,4,4,3
2,1,38.6,52,24,1,3,1
1,1,38.0,88,30,3,5,2
2,1,38.0,60,12,3,3,1
1,1,38.05,120,30,3,4,3
1,1,35.4,140,24,3,4,3
2,1,38.0,120,30,4,5,2
1,1,37.9,60,15,3,5,1
2,1,37.5,48,16,1,1,1
1,1,38.9,80,44,3,2,2
2,1,37.2,84,48,3,4,2
2,1,38.6,46,20,1,1,1
1,1,37.4,84,36,1,3,2
2,1,38.2,48,20,1,1,1
2,1,40.3,114,36,3,2,3
1,2,38.6,160,20,3,3,2
1,1,38.0,64,36,2,5,2
1,1,38.0,89,20,4,5,2
2,1,38.0,96,30,3,5,2
2,1,37.8,48,32,1,2,1
2,1,38.5,60,20,2,1,1
1,1,37.8,88,22,2,3,2
2,1,38.2,130,16,4,2,3
1,1,39.0,64,36,3,3,1
1,1,38.2,60,36,3,3,1
2,1,37.9,72,24,1,3,1
2,1,38.4,54,24,1,1,1
2,1,38.0,48,12,1,1,1
2,1,37.0,60,20,3,3,3
1,1,37.8,48,28,1,1,1
1,1,38.1,52,24,1,4,2
1,2,39.7,100,84,3,2,3
1,1,37.6,38,20,3,3,1
2,1,38.7,52,20,2,1,1
1,1,38.0,89,30,3,5,2
1,1,37.5,96,18,1,3,1
1,1,36.4,98,35,3,4,2
1,2,38.1,100,80,3,3,1
1,1,38.0,89,24,3,5,2
1,1,37.8,60,80,1,2,1
2,1,38.0,54,30,2,3,1
1,1,38.0,88,40,3,5,2
2,1,39.0,64,40,1,3,1
2,1,38.3,42,10,1,1,1
2,1,40.3,114,36,3,2,2
2,1,38.8,50,20,3,1,1
